               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097712,            0.016659,            0.043779,             0.44441,             0.37258,             0.34518,             0.15514,            0.064663,            0.016091,             0.03483,            0.070018,           0.0033313,           0.0033313
                   1,            0.073864,             0.01485,            0.036597,             0.78358,             0.49554,             0.51107,             0.25787,            0.056039,            0.015209,             0.03124,            0.037819,           0.0044653,           0.0044653
                   2,            0.066037,            0.014079,            0.033511,              0.7542,              0.5569,              0.5673,             0.29466,            0.053155,            0.014052,            0.029498,           0.0034198,           0.0033993,           0.0033993
